source_file,source_module,line,import_type,imported_module,imported_name,alias,level,resolved_file,resolution_status
core/name_key_builder.py,core.name_key_builder,21,from_import,__future__,annotations,,0,,unresolved_external_or_missing
core/name_key_builder.py,core.name_key_builder,23,from_import,typing,Any,,0,,unresolved_external_or_missing
core/name_key_builder.py,core.name_key_builder,23,from_import,typing,Dict,,0,,unresolved_external_or_missing
core/name_key_builder.py,core.name_key_builder,23,from_import,typing,List,,0,,unresolved_external_or_missing
core/name_key_builder.py,core.name_key_builder,23,from_import,typing,Optional,,0,,unresolved_external_or_missing
core/name_key_builder.py,core.name_key_builder,25,from_import,core.canonical_items,build_flat_items,,0,core/canonical_items.py,resolved
core/name_key_builder.py,core.name_key_builder,26,from_import,core.record_v2,canonicalize_str,,0,core/record_v2.py,resolved
core/name_key_builder.py,core.name_key_builder,27,from_import,core.join_key_builder,build_join_key_from_policy,,0,core/join_key_builder.py,resolved
core/name_key_builder.py,core.name_key_builder,27,from_import,core.join_key_builder,compute_projection_status,,0,core/join_key_builder.py,resolved
core/name_key_builder.py,core.name_key_builder,28,from_import,core.join_key_policy,get_domain_join_key_policy,,0,core/join_key_policy.py,resolved
core/name_key_coverage.py,core.name_key_coverage,22,from_import,__future__,annotations,,0,,unresolved_external_or_missing
core/name_key_coverage.py,core.name_key_coverage,24,from_import,typing,Dict,,0,,unresolved_external_or_missing
core/name_key_coverage.py,core.name_key_coverage,24,from_import,typing,FrozenSet,,0,,unresolved_external_or_missing
core/naming.py,core.naming,14,from_import,__future__,annotations,,0,,unresolved_external_or_missing
core/naming.py,core.naming,16,import,os,,,0,,unresolved_external_or_missing
core/naming.py,core.naming,17,import,re,,,0,,unresolved_external_or_missing
core/naming.py,core.naming,18,from_import,typing,Any,,0,,unresolved_external_or_missing
core/naming.py,core.naming,18,from_import,typing,Dict,,0,,unresolved_external_or_missing
core/naming.py,core.naming,18,from_import,typing,Optional,,0,,unresolved_external_or_missing
core/phase2.py,core.phase2,12,from_import,core.hashing,make_hash,,0,core/hashing.py,resolved
core/phase2.py,core.phase2,12,from_import,core.hashing,safe_str,,0,core/hashing.py,resolved
core/phase2.py,core.phase2,13,from_import,core.canon,S_MISSING,,0,core/canon.py,resolved
core/phase2.py,core.phase2,13,from_import,core.canon,S_NOT_APPLICABLE,,0,core/canon.py,resolved
core/phase2.py,core.phase2,13,from_import,core.canon,S_UNREADABLE,,0,core/canon.py,resolved
core/phase2.py,core.phase2,14,from_import,core.record_v2,ITEM_Q_MISSING,,0,core/record_v2.py,resolved
core/phase2.py,core.phase2,14,from_import,core.record_v2,ITEM_Q_UNREADABLE,,0,core/record_v2.py,resolved
core/phase2.py,core.phase2,14,from_import,core.record_v2,ITEM_Q_UNSUPPORTED_NOT_APPLICABLE,,0,core/record_v2.py,resolved
core/phase2.py,core.phase2,14,from_import,core.record_v2,canonicalize_str,,0,core/record_v2.py,resolved
core/phase2.py,core.phase2,14,from_import,core.record_v2,canonicalize_str_allow_empty,,0,core/record_v2.py,resolved
core/phase2.py,core.phase2,14,from_import,core.record_v2,serialize_identity_items,,0,core/record_v2.py,resolved
core/phase2.py,core.phase2,23,from_import,core.record_v2,ITEM_Q_MISSING,,0,core/record_v2.py,resolved
core/phase2.py,core.phase2,23,from_import,core.record_v2,ITEM_Q_OK,,0,core/record_v2.py,resolved
core/phase2.py,core.phase2,23,from_import,core.record_v2,ITEM_Q_UNREADABLE,,0,core/record_v2.py,resolved
core/phase2.py,core.phase2,23,from_import,core.record_v2,canonicalize_bool,,0,core/record_v2.py,resolved
core/phase2.py,core.phase2,23,from_import,core.record_v2,canonicalize_int,,0,core/record_v2.py,resolved
core/record_v2.py,core.record_v2,15,from_import,__future__,annotations,,0,,unresolved_external_or_missing
core/record_v2.py,core.record_v2,17,import,hashlib,,,0,,unresolved_external_or_missing
core/record_v2.py,core.record_v2,18,import,json,,,0,,unresolved_external_or_missing
core/record_v2.py,core.record_v2,19,import,math,,,0,,unresolved_external_or_missing
core/record_v2.py,core.record_v2,20,from_import,typing,Any,,0,,unresolved_external_or_missing
core/record_v2.py,core.record_v2,20,from_import,typing,Dict,,0,,unresolved_external_or_missing
core/record_v2.py,core.record_v2,20,from_import,typing,Iterable,,0,,unresolved_external_or_missing
core/record_v2.py,core.record_v2,20,from_import,typing,List,,0,,unresolved_external_or_missing
core/record_v2.py,core.record_v2,20,from_import,typing,Optional,,0,,unresolved_external_or_missing
core/record_v2.py,core.record_v2,20,from_import,typing,Sequence,,0,,unresolved_external_or_missing
core/record_v2.py,core.record_v2,20,from_import,typing,Tuple,,0,,unresolved_external_or_missing
core/record_v2.py,core.record_v2,22,from_import,core.hashing,safe_str,,0,core/hashing.py,resolved
core/record_v2.py,core.record_v2,250,import,enum,,,0,,unresolved_external_or_missing
core/rows.py,core.rows,11,from_import,Autodesk.Revit.DB,BuiltInParameter,,0,,unresolved_external_or_missing
core/rows.py,core.rows,11,from_import,Autodesk.Revit.DB,UnitTypeId,,0,,unresolved_external_or_missing
core/rows.py,core.rows,11,from_import,Autodesk.Revit.DB,UnitUtils,,0,,unresolved_external_or_missing
core/rows.py,core.rows,18,from_import,core.canon,canon_str,,0,core/canon.py,resolved
core/rows.py,core.rows,18,from_import,core.canon,safe_str,,0,core/canon.py,resolved
core/sig_hash_builder.py,core.sig_hash_builder,4,from_import,__future__,annotations,,0,,unresolved_external_or_missing
core/sig_hash_builder.py,core.sig_hash_builder,6,from_import,typing,Any,,0,,unresolved_external_or_missing
core/sig_hash_builder.py,core.sig_hash_builder,6,from_import,typing,Dict,,0,,unresolved_external_or_missing
core/sig_hash_builder.py,core.sig_hash_builder,6,from_import,typing,Iterable,,0,,unresolved_external_or_missing
core/sig_hash_builder.py,core.sig_hash_builder,6,from_import,typing,List,,0,,unresolved_external_or_missing
core/sig_hash_builder.py,core.sig_hash_builder,6,from_import,typing,Optional,,0,,unresolved_external_or_missing
core/sig_hash_builder.py,core.sig_hash_builder,6,from_import,typing,Sequence,,0,,unresolved_external_or_missing
core/sig_hash_builder.py,core.sig_hash_builder,6,from_import,typing,Tuple,,0,,unresolved_external_or_missing
core/sig_hash_builder.py,core.sig_hash_builder,8,from_import,core.hashing,make_hash,,0,core/hashing.py,resolved
core/sig_hash_builder.py,core.sig_hash_builder,9,from_import,core.record_v2,ITEM_Q_OK,,0,core/record_v2.py,resolved
core/sig_hash_builder.py,core.sig_hash_builder,9,from_import,core.record_v2,STATUS_BLOCKED,,0,core/record_v2.py,resolved
core/sig_hash_builder.py,core.sig_hash_builder,9,from_import,core.record_v2,STATUS_DEGRADED,,0,core/record_v2.py,resolved
