archetype_id,governance_question,approach_label,signal_ids,cluster_ids
CANDIDATE__view_filter_strategy__vfd_ceiling_types_all_model_family_name_1002002__view_filter_applications_view_templates_stack_filter_view_filter_definitions,view_filter_strategy,Ceiling Type/Uniformat View Filter Bundle + View Template Filter Stack Bundle,vfd__ceiling_types.all_model_family_name__1002002 | view_filter_applications_view_templates.stack_filter__view_filter_definitions,view_filter_strategy__cluster_003 | view_filter_strategy__cluster_007
CANDIDATE__unknown__vfd_ceiling_types_all_model_type_name_1002001__vfd_ceiling_types_uniformat_code_1002500,view_filter_strategy,Ceiling Type/Uniformat View Filter Bundle,vfd__ceiling_types.all_model_type_name__1002001 | vfd__ceiling_types.uniformat_code__1002500,view_filter_strategy__cluster_003
CANDIDATE__view_filter_strategy__vfd_ceiling_types_all_model_type_name_1002001__view_filter_applications_view_templates_stack_filter_view_filter_definitions,view_filter_strategy,Ceiling Type/Uniformat View Filter Bundle + View Template Filter Stack Bundle,vfd__ceiling_types.all_model_type_name__1002001 | view_filter_applications_view_templates.stack_filter__view_filter_definitions,view_filter_strategy__cluster_003 | view_filter_strategy__cluster_007
CANDIDATE__view_filter_strategy__vfd_ceiling_types_uniformat_code_1002500__view_filter_applications_view_templates_stack_filter_view_filter_definitions,view_filter_strategy,Ceiling Type/Uniformat View Filter Bundle + View Template Filter Stack Bundle,vfd__ceiling_types.uniformat_code__1002500 | view_filter_applications_view_templates.stack_filter__view_filter_definitions,view_filter_strategy__cluster_003 | view_filter_strategy__cluster_007
CANDIDATE__unknown__vfd_floor_types_all_model_family_name_1002002__vfd_floor_types_all_model_type_name_1002001,view_filter_strategy,Floor Type/Uniformat View Filter Bundle,vfd__floor_types.all_model_family_name__1002002 | vfd__floor_types.all_model_type_name__1002001,view_filter_strategy__cluster_002
CANDIDATE__unknown__vfd_floor_types_all_model_family_name_1002002__vfd_floor_types_uniformat_code_1002500,view_filter_strategy,Floor Type/Uniformat View Filter Bundle,vfd__floor_types.all_model_family_name__1002002 | vfd__floor_types.uniformat_code__1002500,view_filter_strategy__cluster_002
CANDIDATE__view_filter_strategy__vfd_floor_types_all_model_family_name_1002002__view_filter_applications_view_templates_stack_filter_view_filter_definitions,view_filter_strategy,Floor Type/Uniformat View Filter Bundle + View Template Filter Stack Bundle,vfd__floor_types.all_model_family_name__1002002 | view_filter_applications_view_templates.stack_filter__view_filter_definitions,view_filter_strategy__cluster_002 | view_filter_strategy__cluster_007
CANDIDATE__unknown__vfd_floor_types_all_model_type_name_1002001__vfd_floor_types_uniformat_code_1002500,view_filter_strategy,Floor Type/Uniformat View Filter Bundle,vfd__floor_types.all_model_type_name__1002001 | vfd__floor_types.uniformat_code__1002500,view_filter_strategy__cluster_002
CANDIDATE__view_filter_strategy__vfd_floor_types_all_model_type_name_1002001__view_filter_applications_view_templates_stack_filter_view_filter_definitions,view_filter_strategy,Floor Type/Uniformat View Filter Bundle + View Template Filter Stack Bundle,vfd__floor_types.all_model_type_name__1002001 | view_filter_applications_view_templates.stack_filter__view_filter_definitions,view_filter_strategy__cluster_002 | view_filter_strategy__cluster_007
CANDIDATE__view_filter_strategy__vfd_floor_types_uniformat_code_1002500__view_filter_applications_view_templates_stack_filter_view_filter_definitions,view_filter_strategy,Floor Type/Uniformat View Filter Bundle + View Template Filter Stack Bundle,vfd__floor_types.uniformat_code__1002500 | view_filter_applications_view_templates.stack_filter__view_filter_definitions,view_filter_strategy__cluster_002 | view_filter_strategy__cluster_007
CANDIDATE__unknown__vfd_roof_types_all_model_family_name_1002002__vfd_roof_types_all_model_type_name_1002001,view_filter_strategy,Roof Type/Fire Label View Filter Bundle,vfd__roof_types.all_model_family_name__1002002 | vfd__roof_types.all_model_type_name__1002001,view_filter_strategy__cluster_004
